NO LON-DEG LON-MIN LON-SEC LON-EW LAT-DEG LAT-MIN LAT-SEC LAT-NS CITY_NAME CNTRY_NAME POP
1 99° 31' 44.4087" E 16° 28' 22.7891" N Kamphaeng-Phet Thailand 58787
2 12° 11' 23.9867" E 5° 33' 25.1854" S Cabinda Angola 66020
3 100° 20' 56.4051" E 16° 26' 20.4143" N Phichit Thailand 35760
4 15° 46' 59.8813" E 17° 02' 59.9853" S Onjiva Angola 10169
5 24° 49' 48.0051" E 28° 39' 35.9856" S Kimberley South-Africa 142089
6 105° 26' 16.7907" E 10° 22' 55.2145" N Long-Xuyen Vietnam 158153
7 92° 50' 00.0071" E 56° 00' 59.9976" N Krasnoyarsk Russia 927200
8 100° 08' 02.4015" E 15° 42' 03.6142" N Nakhon-Sawan Thailand -999
9 28° 03' 21.5908" E 28° 52' 40.8108" S Hlotse Lesotho 47675
10 13° 24' 21.6155" E 12° 34' 37.1854" S Benguela Angola 151226
11 105° 05' 05.9980" E 10° 00' 25.2036" N Rach-Gia Vietnam 228356
12 106° 24' 46.8119" E 10° 31' 51.5966" N Tan-An Vietnam 64801
13 15° 44' 09.5869" E 12° 45' 36.0073" S Huambo Angola 226145
14 100° 54' 50.4120" E 14° 30' 46.8146" N Saraburi Thailand -999
15 91° 26' 34.7906" E 53° 43' 08.4072" N Abakan Russia 167289
16 105° 38' 09.5903" E 10° 28' 01.2003" N Cao-Lanh Vietnam -999
17 13° 29' 31.1978" E 14° 55' 08.4106" S Lubango Angola 102541
18 101° 12' 57.5944" E 14° 12' 00.0071" N Nakhon-Nayok Thailand 21309
19 26° 13' 30.0049" E 29° 07' 04.7892" S Bloemfontein South-Africa 463064
20 94° 23' 09.5904" E 51° 42' 36.0147" N Kyzyl Russia 108240
21 106° 22' 01.2155" E 10° 21' 14.3859" N My-Tho Vietnam 122310
22 12° 09' 00.0014" E 15° 09' 59.9938" S Namibe Angola 80149
23 100° 31' 59.8922" E 14° 01' 00.1165" N Pathum-Thani Thailand -999
24 27° 45' 10.8120" E 29° 09' 10.7927" S Teyateyaneng Lesotho 5115
25 105° 57' 50.4083" E 10° 15' 21.6142" N Vinh-Long Vietnam 103314
26 16° 08' 45.6012" E 20° 06' 28.7931" S Outjo Namibia 6557
27 100° 31' 11.4864" E 13° 50' 52.9407" N Nonthaburi Thailand -999
28 92° 04' 08.4050" E 49° 59' 02.4074" N Ulaangom Mongolia 28085
29 27° 29' 31.2120" E 29° 18' 28.7859" S Maseru Lesotho 118355
30 16° 38' 49.2123" E 20° 27' 50.4069" S Otjiwarongo Namibia 21224
31 106° 22' 29.9869" E 10° 14' 05.9926" N Truc-Giang Vietnam 59442
32 100° 09' 28.8119" E 49° 38' 13.1930" N Moron Mongolia 27690
33 100° 31' 00.0172" E 13° 45' 00.0069" N Bangkok Thailand 5104476
34 105° 47' 02.4087" E 10° 01' 55.2106" N Can-Tho Vietnam 259598
35 15° 57' 03.5905" E 21° 26' 09.6071" S Omaruru Namibia 11547
36 91° 38' 09.6083" E 48° 00' 18.0037" N Hovd Mongolia 27924
37 27° 15' 07.2014" E 29° 49' 51.6145" S Mafeteng Lesotho 57059
38 106° 20' 02.4051" E 9° 56' 02.4073" N Tra-Vinh Vietnam 57408
39 101° 04' 33.6122" E 13° 40' 44.4036" N Chachoengsao Thailand 49741
40 15° 51' 10.7866" E 21° 56' 20.4106" S Karibib Namibia 6898
41 31° 08' 59.9979" E 10° 16' 00.1055" S Kasama Zambia 91056
42 105° 57' 59.9991" E 9° 36' 00.0110" N Soc-Trang Vietnam 114453
43 97° 00' 00.0085" E 47° 48' 35.9930" N Uliastay Mongolia -999
44 27° 28' 47.9903" E 30° 09' 32.3998" S Mohales-Hoek Lesotho -999
45 31° 37' 01.2015" E 7° 58' 01.1929" S Sumbawanga Tanzania 89161
46 105° 43' 59.9641" E 9° 17' 00.0167" N Bac-Lieu Vietnam 107911
47 100° 36' 14.3940" E 13° 35' 16.8073" N Samut-Prakan Thailand 388920
48 100° 07' 22.8085" E 46° 41' 31.2002" N Bayanhongor Mongolia 23234
49 27° 42' 57.6155" E 30° 24' 39.5998" S Moyeni Lesotho 24130
50 33° 26' 20.3869" E 8° 53' 27.6037" S Mbeya Tanzania 291649
51 100° 16' 26.4158" E 13° 32' 09.5998" N Samut-Sakhon Thailand 63498
52 28° 53' 27.5977" E 11° 12' 07.2107" S Mansa Zambia 42277
53 91° 07' 55.2082" E 29° 39' 03.6145" N Lhasa China 118721
54 33° 38' 24.0087" E 25° 02' 27.5890" S Xai-Xai Mozambique 127366
55 106° 12' 00.0013" E 50° 14' 59.9893" N Suchboatar Mongolia -999
56 100° 59' 13.2083" E 13° 22' 04.7890" N Chon-Buri Thailand 219164
57 28° 38' 02.4158" E 12° 58' 04.8039" S Ndola Zambia 394518
58 106° 10' 34.7895" E 49° 54' 08.8631" N Darhan Mongolia 74300
59 32° 38' 41.9939" E 13° 37' 55.2106" S Chipata Zambia 85963
60 104° 14' 52.7975" E 52° 19' 01.1998" N Irkutsk Russia 586695
61 97° 23' 16.8047" E 25° 22' 44.4036" N Myitkyina Myanmar 90894
62 28° 26' 49.2086" E 14° 26' 49.1929" S Kabwe Zambia 188979
63 28° 13' 04.7904" E 25° 43' 51.5998" S Pretoria South-Africa 1619438
64 99° 48' 00.0051" E 11° 48' 10.7855" N Prachuap-Khiri-Khan Thailand 33521
65 107° 33' 54.0123" E 51° 50' 45.6108" N Ulan-Ude Russia 360278
66 28° 10' 12.0011" E 15° 25' 47.9855" S Lusaka Zambia 1267440
67 99° 31' 00.1177" E 14° 01' 59.8943" N Kanchanaburi Thailand 63699
68 103° 33' 17.9979" E 48° 48' 50.4071" N Bulgan Mongolia 17348
69 93° 56' 27.6049" E 24° 47' 16.7926" N Imphal India 223523
70 29° 26' 59.9941" E 23° 53' 31.2109" S Pietersburg-(Polokwane) South-Africa 123749
71 33° 35' 13.2047" E 16° 09' 50.4002" S Tete Mozambique 129316
72 101° 27' 28.7979" E 47° 27' 28.7961" N Tsetserleg Mongolia 5876
73 100° 03' 50.3940" E 13° 49' 04.7892" N Nakhon-Pathom Thailand 117927
74 93° 37' 00.1356" E 22° 39' 00.0109" N Haka Myanmar -999
75 32° 05' 10.6020" E 28° 47' 02.2630" S Richards-Bay South-Africa 252968
76 102° 46' 19.1979" E 46° 16' 04.8035" N Arvayheer Mongolia -999
77 92° 43' 59.8816" E 23° 40' 00.1094" N Aizawl India 265331
78 28° 15' 00.0050" E 28° 44' 59.9854" S Butha-Buthe Lesotho 16330
79 99° 54' 00.0014" E 13° 29' 59.9999" N Ratchaburi Thailand 92448
80 27° 32' 59.9978" E 11° 40' 48.0073" S Lumumbashi Congo;-DRC 1373770
81 29° 04' 40.8049" E 29° 17' 27.6146" S Mokhotlong Lesotho 8809
82 106° 15' 53.9941" E 45° 45' 39.6146" N Mandalgovi Mongolia 15430
