ID,CITY_NAME,CNTRY_NAME,STATUS,FIPS_CNTRY,POP,POP_RANK,POP_CLASS
1,Kamphaeng Phet,Thailand,Provincial capital,TH,58787,6,50;000 to 99;999
2,Cabinda,Angola,Provincial capital,AO,66020,6,50;000 to 99;999
3,Phichit,Thailand,Provincial capital,TH,35760,7,Less than 50;000
4,Onjiva,Angola,Provincial capital,AO,10169,7,Less than 50;000
5,Kimberley,South Africa,Provincial capital,SF,142089,5,100;000 to 249;999
6,Long Xuyen,Vietnam,Provincial capital,VM,158153,5,100;000 to 249;999
7,Krasnoyarsk,Russia,Provincial capital,RS,927200,3,500;000 to 999;999
8,Nakhon Sawan,Thailand,Provincial capital,TH,-999,7,Less than 50;000
9,Hlotse,Lesotho,Provincial capital,LT,47675,7,Less than 50;000
10,Benguela,Angola,Provincial capital,AO,151226,5,100;000 to 249;999
11,Rach Gia,Vietnam,Provincial capital,VM,228356,5,100;000 to 249;999
12,Tan An,Vietnam,Provincial capital,VM,64801,6,50;000 to 99;999
13,Huambo,Angola,Provincial capital,AO,226145,5,100;000 to 249;999
14,Saraburi,Thailand,Provincial capital,TH,-999,7,Less than 50;000
15,Abakan,Russia,Provincial capital,RS,167289,5,100;000 to 249;999
16,Cao Lanh,Vietnam,Provincial capital,VM,-999,7,Less than 50;000
17,Lubango,Angola,Provincial capital,AO,102541,5,100;000 to 249;999
18,Nakhon Nayok,Thailand,Provincial capital,TH,21309,7,Less than 50;000
19,Bloemfontein,South Africa,Provincial capital,SF,463064,4,250;000 to 499;999
20,Kyzyl,Russia,Provincial capital,RS,108240,5,100;000 to 249;999
21,My Tho,Vietnam,Provincial capital,VM,122310,5,100;000 to 249;999
22,Namibe,Angola,Provincial capital,AO,80149,6,50;000 to 99;999
23,Pathum Thani,Thailand,Provincial capital,TH,-999,7,Less than 50;000
24,Teyateyaneng,Lesotho,Provincial capital,LT,5115,7,Less than 50;000
25,Vinh Long,Vietnam,Provincial capital,VM,103314,5,100;000 to 249;999
26,Outjo,Namibia,Provincial capital,WA,6557,7,Less than 50;000
27,Nonthaburi,Thailand,Provincial capital,TH,-999,7,Less than 50;000
28,Ulaangom,Mongolia,Provincial capital,MG,28085,7,Less than 50;000
29,Maseru,Lesotho,National and provincial capital,LT,118355,5,100;000 to 249;999
30,Otjiwarongo,Namibia,Provincial capital,WA,21224,7,Less than 50;000
31,Truc Giang,Vietnam,Provincial capital,VM,59442,6,50;000 to 99;999
32,Moron,Mongolia,Provincial capital,MG,27690,7,Less than 50;000
33,Bangkok,Thailand,National and provincial capital,TH,5104476,1,5;000;000 and greater
34,Can Tho,Vietnam,Provincial capital,VM,259598,4,250;000 to 499;999
35,Omaruru,Namibia,Provincial capital,WA,11547,7,Less than 50;000
36,Hovd,Mongolia,Provincial capital,MG,27924,7,Less than 50;000
37,Mafeteng,Lesotho,Provincial capital,LT,57059,6,50;000 to 99;999
38,Tra Vinh,Vietnam,Provincial capital,VM,57408,6,50;000 to 99;999
39,Chachoengsao,Thailand,Provincial capital,TH,49741,7,Less than 50;000
40,Karibib,Namibia,Provincial capital,WA,6898,7,Less than 50;000
41,Kasama,Zambia,Provincial capital,ZA,91056,6,50;000 to 99;999
42,Soc Trang,Vietnam,Provincial capital,VM,114453,5,100;000 to 249;999
43,Uliastay,Mongolia,Other,MG,-999,7,Less than 50;000
44,Mohales Hoek,Lesotho,Provincial capital,LT,-999,7,Less than 50;000
45,Sumbawanga,Tanzania,Provincial capital,TZ,89161,6,50;000 to 99;999
46,Bac Lieu,Vietnam,Provincial capital,VM,107911,5,100;000 to 249;999
47,Samut Prakan,Thailand,Provincial capital,TH,388920,4,250;000 to 499;999
48,Bayanhongor,Mongolia,Provincial capital,MG,23234,7,Less than 50;000
49,Moyeni,Lesotho,Provincial capital,LT,24130,7,Less than 50;000
50,Mbeya,Tanzania,Provincial capital,TZ,291649,4,250;000 to 499;999
51,Samut Sakhon,Thailand,Provincial capital,TH,63498,6,50;000 to 99;999
52,Mansa,Zambia,Provincial capital,ZA,42277,7,Less than 50;000
53,Lhasa,China,Provincial capital,CH,118721,5,100;000 to 249;999
54,Xai-Xai,Mozambique,Provincial capital,MZ,127366,5,100;000 to 249;999
55,Suchboatar,Mongolia,Provincial capital,MG,-999,7,Less than 50;000
56,Chon Buri,Thailand,Provincial capital,TH,219164,5,100;000 to 249;999
57,Ndola,Zambia,Provincial capital,ZA,394518,4,250;000 to 499;999
58,Darhan,Mongolia,Provincial capital,MG,74300,6,50;000 to 99;999
59,Chipata,Zambia,Provincial capital,ZA,85963,6,50;000 to 99;999
60,Irkutsk,Russia,Provincial capital,RS,586695,3,500;000 to 999;999
61,Myitkyina,Myanmar,Provincial capital,BM,90894,6,50;000 to 99;999
62,Kabwe,Zambia,Provincial capital,ZA,188979,5,100;000 to 249;999
63,Pretoria,South Africa,National capital,SF,1619438,2,1;000;000 to 4;999;999
64,Prachuap Khiri Khan,Thailand,Provincial capital,TH,33521,7,Less than 50;000
65,Ulan Ude,Russia,Provincial capital,RS,360278,4,250;000 to 499;999
66,Lusaka,Zambia,National and provincial capital,ZA,1267440,2,1;000;000 to 4;999;999
67,Kanchanaburi,Thailand,Provincial capital,TH,63699,6,50;000 to 99;999
68,Bulgan,Mongolia,Provincial capital,MG,17348,7,Less than 50;000
69,Imphal,India,Provincial capital,IN,223523,5,100;000 to 249;999
70,Pietersburg (Polokwane),South Africa,Provincial capital,SF,123749,5,100;000 to 249;999
71,Tete,Mozambique,Provincial capital,MZ,129316,5,100;000 to 249;999
72,Tsetserleg,Mongolia,Provincial capital,MG,5876,7,Less than 50;000
73,Nakhon Pathom,Thailand,Provincial capital,TH,117927,5,100;000 to 249;999
74,Haka,Myanmar,Provincial capital,BM,-999,7,Less than 50;000
75,Richards Bay,South Africa,Other,SF,252968,4,250;000 to 499;999
76,Arvayheer,Mongolia,Provincial capital,MG,-999,7,Less than 50;000
77,Aizawl,India,Provincial capital,IN,265331,4,250;000 to 499;999
78,Butha-Buthe,Lesotho,Provincial capital,LT,16330,7,Less than 50;000
79,Ratchaburi,Thailand,Provincial capital,TH,92448,6,50;000 to 99;999
80,Lumumbashi,Congo; DRC,Other,CG,1373770,2,1;000;000 to 4;999;999
81,Mokhotlong,Lesotho,Provincial capital,LT,8809,7,Less than 50;000
82,Mandalgovi,Mongolia,Provincial capital,MG,15430,7,Less than 50;000
83,Samut Songkhram,Thailand,Provincial capital,TH,35065,7,Less than 50;000
84,Itanagar,India,Provincial capital,IN,44971,7,Less than 50;000
85,Solwezi,Zambia,Provincial capital,ZA,4846,7,Less than 50;000
86,Ust' Ordynskiy,Russia,Provincial capital,RS,14538,7,Less than 50;000
87,Phet Buri,Thailand,Provincial capital,TH,46601,7,Less than 50;000
